	RCC4-EV	RCC4-VHL
ADSSL1	24.4323192524445	89.5866743433428
ADTRP	209.937154511181	56.3953253559407
AEBP1	0	5.97706467790212
AEBP2	385.879653002908	442.121410385012
AEN	376.13913580747	416.348464013773
AES	4529.6719687159	5449.2585895132
AFAP1	54.9518961152313	73.7669950928247
AFAP1-AS1	0	0
AFAP1L1	386.389402958778	326.679704283438
AFAP1L2	1.37284403896484	60.4736539723278
AFDN	713.641023394979	712.947023774669
AFDN-DT	1.7789229207293	2.98128111417847
AFF1	605.854801324517	562.006746961989
AFF2	0.64130644106647	0
AFF2-IT1	0	0
AFF3	198.564779964604	124.425840370208
AFF4	646.187258217903	999.642827571134
AFG1L	88.5573166600355	68.2327499602869
AFG3L1P	164.275857439897	175.465384464195
AFG3L2	288.649567395286	882.35908199229
AFG3L2P1	0	0
AFM	0	0
AFMID	495.850857537853	220.231324948044
AFP	0	20.0775375343063
AFTPH	367.898803449913	576.679781094137
AGA	622.552206460929	441.379368383284
AGAP1	217.803799154504	248.965207133509
AGAP1-IT1	4.94209930659806	0
AGAP10P	5.65559454073214	2.29121573936355
AGAP11	2.72257915542343	3.78072388733476
AGAP12P	13.3495507505983	16.0698369891293
AGAP13P	0	9.79337856608921
AGAP14P	0.801889279971755	0.776204596129176
AGAP2	1.16184700677606	3.09779554477632
AGAP2-AS1	764.660496406035	558.538149285337
AGAP3	918.782776746952	776.062483542885
AGAP4	86.6858033451975	146.250599529246
AGAP5	61.2836055158678	39.4443979446409
AGAP6	100.670646415608	115.342244420048
AGAP7P	0	0
AGAP9	84.1705856759954	81.8987012608303
AGBL1	0	0
AGBL1-AS1	0	0
AGBL2	34.7002420073069	28.4392464618308
AGBL3	26.7239508446448	39.4146127300239
AGBL4	0.321881184197792	0
AGBL4-IT1	0	0
AGBL5	787.950867464473	526.768668412201
AGBL5-AS1	10.305709227312	0
AGBL5-IT1	0	0
AGER	61.1615439938097	102.936750112257
AGFG1	942.841137553015	1002.62138709701
AGFG2	158.776978135977	178.880064241159
AGGF1	191.6656739989	205.226751877475
AGGF1P1	1.03963078063428	0
AGGF1P10	0	0
AGGF1P2	11.5191887220309	4.4286522237074
AGGF1P3	2.33173862590576	1.17614485169652
AGGF1P4	0	0
AGGF1P5	0	0
AGGF1P6	0	0
AGGF1P7	0	0
AGGF1P8	0	0
AGGF1P9	0	0
AGK	576.247881865648	528.941066838559
AGKP1	0	0
AGL	78.2963749269511	97.0342912115429
AGMAT	0.856093723306475	0.420057170487619
AGMO	0	0
AGO1	168.422449009977	195.872919337955
AGO2	101.627143089251	105.28875433436
AGO3	103.295916702369	173.960821936184
AGO4	112.365927060937	155.157729977854
AGPAT1	930.307109379767	978.4033431213
AGPAT2	565.188899116674	635.381243344879
AGPAT3	807.737519772744	471.697157863365
AGPAT4	235.027410893692	115.382097608168
AGPAT4-IT1	5.78601008331128	4.37821719576158
AGPAT5	346.101133419305	262.390402545934
AGPAT5P1	0	0
AGPS	838.196781380889	880.157393185552
AGR2	0	0
AGR3	0	0
AGRN	2421.94377311358	2046.66784133048
AGRP	0	0
AGT	8.10972343487387	195.116451015026
AGTPBP1	131.824297303547	60.4533086723753
AGTR1	0	0
AGTR2	0	0
AGTRAP	190.091908031199	316.58636100963
AGXT	0.491688254095108	0.613366068165238
AGXT2	0	0
AHCTF1	337.556382101	488.548338111848
AHCY	4642.11538318477	3625.72400947833
AHCYL1	1124.30463803264	1519.05163606376
AHCYL2	102.758513391533	103.30330808895
AHCYP2	0	0
AHCYP3	0	0
AHCYP4	0	0
AHCYP5	0	0
AHCYP7	0	0
AHCYP8	0	0
AHDC1	37.1266982084726	72.946141222899
AHI1	187.913481152263	153.104529506222
AHNAK	1812.37429468273	1392.28840811351
AHNAK2	263.072921373547	314.669563498485
AHR	314.411645599378	378.012437662521
AHRR	28.5119046162615	13.8620959790376
AHSA1	3716.58083677385	2894.2578715008
AHSA2P	342.758074860087	348.202747782843
AHSG	1.10625022668783	0
AHSP	0	0
AICDA	33.7666415380548	10.934656636202
AIDA	1388.66374982025	1427.45494505196
AIF1	0	0
AIF1L	2561.57059021775	4055.52684509239
AIFM1	1121.03811931884	1764.57751686891
AIFM1P1	0	0
AIFM2	11.8696321476862	90.0372209156301
AIFM3	3.1194144681854	0
AIG1	2533.02116986118	1742.87119438116
AIG1P1	0	0
AIM2	0	0
AIMP1	687.964979999447	552.190149250958
AIMP1P1	0	0
AIMP1P2	0	0
AIMP2	1103.00192437989	1347.75205168329
AIP	475.060794542549	392.282238988221
AIPL1	1.29280401364824	2.36161542554151
AIRE	0	0.971702183698784
AIRN	0	0
AJAP1	24.6163977740653	23.6971167493326
AJM1	29.9077608876802	18.280889582188
AJUBA	1304.09290600364	1033.50345889542
AK1	39.2400526821918	448.760391982509
AK2	7963.95339595708	12454.1043870721
AK2P2	0	0
AK3	881.597581056821	1018.13790424936
AK3P2	0	0
AK3P3	9.88417927518565	17.4438203749756
AK3P4	0	0
AK3P5	0	0
AK4	1410.63201977919	405.917453469847
AK4P1	1140.65370758653	219.075734749247
AK4P2	0	0
AK4P3	0	0
AK4P4	0	0
AK4P5	0	0
AK4P6	0	0
AK5	832.403558219674	556.663165267172
AK6	483.325299413189	693.46343958079
AK6P1	0	0
AK6P2	0	0
AK7	2.59904794456999	1.57277352429685
AK8	1.9148497962911	18.7407238124518
AK9	29.4400904425833	32.2181052047359
AKAIN1	0	0
AKAP1	894.565128748685	615.642020171616
AKAP10	276.257170810687	226.712720873319
AKAP11	85.6982885027677	106.683235276847
AKAP12	2845.81333443612	1648.86780093204
AKAP13	183.266769955525	196.079874241307
AKAP14	0	1.9732657103587
AKAP17A	444.130439661455	345.526474879178
AKAP17BP	0	0
AKAP2	2372.65743061447	1615.87008438778
AKAP3	3.4681174728988	1.55526400516094
AKAP4	0	0
AKAP5	5.76644001672022	14.9452500584536
AKAP6	6.49867378299535	11.6880798253685
AKAP7	74.3051642709612	63.739731221669
AKAP8	359.741199101126	391.025036482177
AKAP8L	866.736242662064	877.130948931254
AKAP8P1	0	0
AKAP9	160.100104150035	144.269359374846
AKIP1	559.214188727241	662.104119193412
AKIRIN1	617.537202854876	1318.37773980334
AKIRIN1P1	0	0
AKIRIN1P2	0	0
AKIRIN2	383.735435064486	391.348315495267
AKIRIN2P1	0	0
AKNA	63.3966119053986	44.3616799447562
AKNAD1	1.49776758657179	0.425043577024149
AKR1A1	1786.81934590874	2033.17367363833
AKR1B1	8025.05425727405	25406.4414750334
AKR1B10	0.838341429699171	21.9909663662266
AKR1B10P1	0	0
AKR1B10P2	0	0
AKR1B15	2.66988307690502	1.34933683445386
AKR1B1P1	0	0
AKR1B1P2	0	0
AKR1B1P3	0	0
AKR1B1P4	0	0
AKR1B1P6	0	0
AKR1B1P7	0	0
AKR1B1P8	0	0
AKR1C1	4.24898633549458	0
AKR1C2	2.12078026973792	0
AKR1C3	199.792202164868	620.654576794334
AKR1C4	0	0
AKR1C5P	0	0
AKR1C6P	0	0
AKR1C7P	0	3.38877710789468
AKR1C8P	0	0
AKR1D1	11.8211324174388	2.30135984121077
AKR1D1P1	0	0
AKR1E2	0	0
AKR7A2	799.464158093311	492.775649897579
AKR7A2P1	0	0
AKR7A3	2.32725220747777	3.52164010038138
AKR7L	3.26181957725314	1.350592952131
AKT1	1117.11807254136	984.368055975376
AKT1S1	1449.21376790911	1601.04820031089
AKT2	3063.19974197274	2983.54958657504
AKT3	757.61968149964	861.384771596935
AKT3-IT1	0	0
AKTIP	263.589149562923	411.134700177681
ALAD	208.60561646257	258.132962968038
ALAS1	579.531205310538	592.81583071052
ALAS2	0	0
ALB	0	0
ALCAM	3171.61433335526	2151.88079086624
ALDH16A1	314.1587237605	422.235392732298
ALDH18A1	1710.02334919977	1057.91188082756
ALDH1A1	2643.95488519103	21809.7110976505
ALDH1A2	24.2960636307047	57.7107850772838
ALDH1A3	190.63826484088	492.036405612495
ALDH1B1	1487.97729333741	750.414730233468
ALDH1L1	9.45646115971032	94.5707018691207
ALDH1L1-AS1	0	0
ALDH1L1-AS2	0	0
ALDH1L2	0	0.169119116349643
ALDH2	0.885352133140735	190.068456648144
ALDH3A1	0	0
ALDH3A2	59.0827078687714	336.837642457188
ALDH3B1	538.134848433384	491.479279358511
ALDH3B2	0	0
ALDH4A1	279.55557790374	319.671462153033
ALDH5A1	123.66458511162	108.480320966944
ALDH6A1	88.3373274529803	68.8483808466882
ALDH7A1	1258.27644073638	1533.69899591187
ALDH7A1P1	0	0
ALDH7A1P2	0	0
ALDH7A1P3	0	0
ALDH7A1P4	0	0
ALDH8A1	0	0.864951213227801
ALDH9A1	381.240618996325	557.921186152915
ALDOA	19872.5113536554	15871.8999829665
ALDOAP1	0	0
