KEGG Pathway and Enzyme ID	Gene name
00052	2.7.1.2	GCK
00524	2.7.1.1	GCK
00500	2.7.1.1	GCK
00520	2.7.1.1	GCK
00521	2.7.1.1	GCK
00052	2.7.1.1	GCK
00010	2.7.1.1	GCK
00051	2.7.1.1	GCK
00670	1.5.1.6	ALDH1L1
00970	2.1.2.9	ALDH1L1
00670	2.1.2.9	ALDH1L1
04150	2.7.11.24	MAPK3
00332	2.7.2.11+1.2.1.41	ALDH18A1
00330	2.7.2.11+1.2.1.41	ALDH18A1
00332	1.2.1.41	ALDH18A1
00330	1.2.1.41	ALDH18A1
00330	2.7.2.11	ALDH18A1
00332	2.7.2.11	ALDH18A1
00650	2.3.3.10	HMGCS1
00280	2.3.3.10	HMGCS1
00900	2.3.3.10	HMGCS1
00072	2.3.3.10	HMGCS1
00531	3.2.1.35	HYAL1
00780	1.1.1.100+4.2.1.59+2.3.1.41	FASN
00061	1.1.1.100+2.3.1.85+4.2.1.59+2.3.1.39+2.3.1.41+3.1.2.14	FASN
00230	4.6.1.2	GUCY2F
00230	2.4.2.8	PRTFDC1
00983	2.4.2.8	PRTFDC1
00400	2.7.1.71	THNSL1
00562	3.1.4.11	PLCB1
04070	3.1.4.11	PLCB1
00230	2.7.4.8	MPP2
00240	4.1.1.23	UMPS
00983	2.4.2.10	UMPS
00240	2.4.2.10	UMPS
00531	3.2.1.35	HYAL2
00230	2.7.7.6	POLR2A
00240	2.7.7.6	POLR2A
00790	2.8.1.9	MOCOS
00330	1.5.5.2	PRODH
00230	1.17.1.4	XDH
00260	1.4.4.2	GLDC
00970	6.1.1.16	CARS2
00983	1.11.2.2	MPO
00562	3.1.4.11	PLCG1
04070	3.1.4.11	PLCG1
05165	2.7.11.1	STK26
04150	2.7.11.1	STK26
04926	2.7.11.1	STK26
04714	2.7.11.1	STK26
04151	2.7.11.1	STK26
05165	2.7.11.1	MARK2
04150	2.7.11.1	MARK2
04926	2.7.11.1	MARK2
04714	2.7.11.1	MARK2
04151	2.7.11.1	MARK2
00562	3.1.3.64+3.1.3.95	MTMR3
04070	3.1.3.64+3.1.3.95	MTMR3
05165	2.7.11.1	TRPM7
04150	2.7.11.1	TRPM7
04926	2.7.11.1	TRPM7
04714	2.7.11.1	TRPM7
04151	2.7.11.1	TRPM7
00600	3.2.1.18	NEU3
00511	3.2.1.18	NEU3
00563	2.4.1.198	PIGP
00534	5.1.3.17	GLCE
00970	6.1.1.7	AARS
04150	2.7.11.24	MAPK6
05165	2.7.11.1	LRRK1
04150	2.7.11.1	LRRK1
04926	2.7.11.1	LRRK1
04714	2.7.11.1	LRRK1
04151	2.7.11.1	LRRK1
04660	2.7.10.2	WEE2
00030	2.7.1.11	PFKP
00680	2.7.1.11	PFKP
00010	2.7.1.11	PFKP
00052	2.7.1.11	PFKP
00051	2.7.1.11	PFKP
00970	6.1.1.17	EARS2
00860	6.1.1.17	EARS2
00564	2.7.1.32+2.7.1.82	CHKB
00620	4.1.1.32	PCK1
00020	4.1.1.32	PCK1
00010	4.1.1.32	PCK1
00480	1.1.1.42	IDH1
00720	1.1.1.42	IDH1
00020	1.1.1.42	IDH1
00140	1.3.1.22	SRD5A2
00905	1.3.1.22	SRD5A2
00565	3.1.4.39	ENPP2
05165	2.7.11.1	CDC42BPG
04150	2.7.11.1	CDC42BPG
04926	2.7.11.1	CDC42BPG
04714	2.7.11.1	CDC42BPG
04151	2.7.11.1	CDC42BPG
00071	2.3.1.21	CPT1B
00010	5.4.2.11	BPGM
00680	5.4.2.11	BPGM
00260	5.4.2.11	BPGM
00380	1.13.11.11	TDO2
05165	2.7.11.1	PDPK1
04150	2.7.11.1	PDPK1
04926	2.7.11.1	PDPK1
04714	2.7.11.1	PDPK1
04151	2.7.11.1	PDPK1
04660	2.7.10.2	YES1
04658	3.1.3.16	DUSP14
04660	3.1.3.16	DUSP14
05165	2.7.11.1	PRKDC
04150	2.7.11.1	PRKDC
04926	2.7.11.1	PRKDC
04714	2.7.11.1	PRKDC
04151	2.7.11.1	PRKDC
00940	1.11.1.7	PXDNL
00330	1.5.1.2	PYCR3
00970	6.1.1.20	FDXACB1
05165	2.7.11.1	HUNK
04150	2.7.11.1	HUNK
04926	2.7.11.1	HUNK
04714	2.7.11.1	HUNK
04151	2.7.11.1	HUNK
04660	2.7.10.2	MATK
00561	3.1.1.3	PNPLA3
00740	3.1.3.2	ACP5
00190	3.6.1.1	PPA2
05165	2.7.11.1	STK39
04150	2.7.11.1	STK39
04926	2.7.11.1	STK39
04714	2.7.11.1	STK39
04151	2.7.11.1	STK39
00030	2.7.6.1	PRPSAP2
00230	2.7.6.1	PRPSAP2
00230	2.7.4.8	MPP7
00720	6.2.1.5	SUCLA2
00640	6.2.1.5	SUCLA2
00660	6.2.1.5	SUCLA2
00020	6.2.1.5	SUCLA2
00240	2.7.7.7	POLL
00230	2.7.7.7	POLL
00513	3.2.1.113	EDEM2
00510	3.2.1.113	EDEM2
00310	2.1.1.43	EZH1
00220	2.3.1.1	NAGS
00480	2.3.2.2+3.4.19.13	GGT6
00430	2.3.2.2	GGT6
00460	2.3.2.2	GGT6
00860	4.4.1.17	HCCS
00600	3.2.1.23	GUSB
00531	3.2.1.23	GUSB
00604	3.2.1.23	GUSB
00511	3.2.1.23	GUSB
00052	3.2.1.23	GUSB
00600	3.5.1.23	ASAH2
00910	4.2.1.1	CA7
00230	2.7.4.8	DLG4
04070	2.7.11.13	PKN1
00340	4.2.1.49	UROC1
00592	3.1.1.4	PLA2G12B
00564	3.1.1.4	PLA2G12B
00591	3.1.1.4	PLA2G12B
00590	3.1.1.4	PLA2G12B
00565	3.1.1.4	PLA2G12B
00514	2.4.1.222	LFNG
00052	3.1.3.9	G6PC2
00010	3.1.3.9	G6PC2
00500	3.1.3.9	G6PC2
05165	2.7.11.1	STK11
04150	2.7.11.1	STK11
04926	2.7.11.1	STK11
04714	2.7.11.1	STK11
04151	2.7.11.1	STK11
00520	1.1.1.271	TSTA3
00051	1.1.1.271	TSTA3
00040	2.7.7.9	UGP2
00052	2.7.7.9	UGP2
00500	2.7.7.9	UGP2
00520	2.7.7.9	UGP2
00220	2.1.3.3	OTC
00512	2.4.1.122	C1GALT1
00230	3.6.1.17	NUDT2
00240	3.6.1.17	NUDT2
00310	2.1.1.43	NSD2
00640	5.1.99.1	MCEE
00630	5.1.99.1	MCEE
00280	5.1.99.1	MCEE
00720	5.1.99.1	MCEE
00983	2.4.2.3	UPP2
00240	2.4.2.3	UPP2
00240	2.4.2.1	UPP2
00760	2.4.2.1	UPP2
00230	2.4.2.1	UPP2
00760	3.2.2.6	BST1
00562	2.7.1.150	PIKFYVE
04070	2.7.1.150	PIKFYVE
00910	4.2.1.1	CA8
04658	3.1.3.16	PHLPP1
04660	3.1.3.16	PHLPP1
00720	6.4.1.2	ACACA
00620	6.4.1.2	ACACA
00640	6.4.1.2	ACACA
00061	6.4.1.2	ACACA
00254	6.4.1.2	ACACA
00330	2.3.1.57	SAT2
00790	3.1.3.1	ALPL
00970	6.1.1.3	TARSL2
00760	1.6.1.2	NNT
00430	1.4.1.1	NNT
00250	1.4.1.1	NNT
00260	4.2.1.22	CBSL
00270	4.2.1.22	CBSL
00513	3.2.1.113	EDEM1
00510	3.2.1.113	EDEM1
00052	3.1.3.9	G6PC3
00010	3.1.3.9	G6PC3
00500	3.1.3.9	G6PC3
00230	2.7.7.6	POLR2C
00240	2.7.7.6	POLR2C
00230	3.5.4.4	ADA2
00480	2.3.2.2+3.4.19.13	GGTLC1
00430	2.3.2.2	GGTLC1
00460	2.3.2.2	GGTLC1
00330	1.14.11.2	P4HA1
00140	1.14.15.4	CYP11B2
00140	1.14.15.4	CYP11B1
04658	3.1.3.16	TAB1
04660	3.1.3.16	TAB1
04658	3.1.3.16	DUSP15
04660	3.1.3.16	DUSP15
04658	3.1.3.16	PDP2
04660	3.1.3.16	PDP2
00310	2.1.1.43	KMT5B
00790	2.8.1.12	MOCS2
05165	2.7.11.1	AKT3
04150	2.7.11.1	AKT3
04926	2.7.11.1	AKT3
04714	2.7.11.1	AKT3
04151	2.7.11.1	AKT3
00561	3.1.1.3	PNPLA2
00510	2.4.1.144	MGAT3
04070	2.7.11.13	PRKCA
05165	2.7.11.1	PAK3
04150	2.7.11.1	PAK3
04926	2.7.11.1	PAK3
04714	2.7.11.1	PAK3
04151	2.7.11.1	PAK3
